filename,fixation_type,chi2_mean,chi2_median,frac_hi
16_KPC_live_posn4_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,live,1.043411520553589,1.02867,0.0006866455078125
16_KPC_live_posn4_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,live,1.0605454064025879,1.045855,0.000396728515625
16_KPC_live_posn4_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,live,1.0691547137756348,1.05686,0.000274658203125
16_KPC_live_posn4_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,live,1.0700860686035158,1.0517050000000001,0.000823974609375
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,live,1.057710158782959,1.0448499999999998,0.0003662109375
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,live,1.076906442352295,1.06228,0.0010223388671875
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,live,1.0710446417083739,1.056325,0.000152587890625
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,live,1.0946956670379637,1.07975,0.001129150390625
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,live,1.0810950880889894,1.06356,0.000396728515625
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,live,1.0784970335845947,1.06686,0.000213623046875
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,live,1.100742678955078,1.08686,0.00177001953125
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,live,1.1076595216217042,1.08881,0.0011749267578125
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,live,1.1074121054992676,1.091645,0.0001678466796875
17_KPC_live_posn5_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,live,1.1053282722930908,1.08929,0.0002593994140625
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,live,1.0678470723876954,1.06128,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,live,1.041889045211792,1.03498,0.0
3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,live,1.0416528456573486,1.0327549999999999,0.0
