filename,session_root,fixation_type,cell_type,em_filter_nm,position_annotation,acquisition_time,n_px_total,n_px_masked,otsu_thresh,G_cal_mean,S_cal_mean,G_cal_wmean,S_cal_wmean,G_cal_std,S_cal_std,M_wmean,tau_phi_ns,tau_mod_ns
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0009.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 10:06:04.545276,65536,32362,3.7038999137000297,0.26882937543959995,0.20732304793650788,0.3904993422721382,0.2479041807165753,0.4015568531018885,0.3356515760649107,0.46254320785384895,1.2629719023538473,3.813326286007486
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0000.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_island,2026-04-30 10:46:38.056021,65536,23989,11.359230697906646,0.42216503742773537,0.2925682903781199,0.4265950948246466,0.29521415996516015,0.1954710963321426,0.14612840744296265,0.5187820112266658,1.3767385454962278,3.2784146766197484
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0001.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_island,2026-04-30 10:47:30.106728,65536,14271,26.365707279324177,0.44900055063836203,0.30140808382232065,0.45252085240046735,0.3008823600232854,0.12980018095771034,0.08341334659918742,0.5434200184299687,1.3227819953720794,3.073229613122983
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0002.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_island,2026-04-30 10:48:21.835170,65536,37498,20.70930503647105,0.38747240672043753,0.3027803529853687,0.3842968037182499,0.3023084765250135,0.14677116764074363,0.10626051738807747,0.4889523988354467,1.5649976760153839,3.549234116161229
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0003.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_island,2026-04-30 10:49:13.386677,65536,35033,22.53139331999671,0.37402876404221835,0.30290459773455236,0.36685280663535597,0.30094537878043576,0.14465689251181912,0.10260774657877232,0.47449879108964843,1.6320218820479713,3.6906605659796154
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0004.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,single_cell,2026-04-30 10:50:05.354030,65536,11852,22.01619846023043,0.4888738017653155,0.284433961593246,0.507044599317156,0.2841100009581943,0.15042416505291564,0.09322642433133901,0.581216584709315,1.1147320939626115,2.7853678860383186
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0005.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,single_cell,2026-04-30 10:50:57.177642,65536,6079,22.478461086287314,0.4965262035175109,0.27288176889694543,0.5306517716318053,0.2703294675380133,0.16709740897236786,0.09483837231881127,0.5955412023994305,1.0134770418689807,2.683548731865821
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0006.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,single_cell,2026-04-30 10:51:48.870465,65536,3826,20.53567637551079,0.4734459929677189,0.27705870635304647,0.49738720553612764,0.2758645789417081,0.1628389947007873,0.10053437591861217,0.5687664706588496,1.103396178918905,2.8769450570182755
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0007.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_edge,2026-04-30 10:52:40.693682,65536,39299,29.16425975888099,0.4068185266987841,0.30723172277526867,0.39760743783032354,0.3057450997803369,0.13122994949615463,0.0913195366451567,0.5015692780241656,1.5298017380440416,3.4314233796492966
4_KPCWT0416formP4num3_740nm_3037mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0008.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,colony_island,2026-04-30 10:53:32.560425,65536,13272,26.89037635758327,0.3578679658782438,0.3092665814067243,0.3457250791324019,0.30620726177131025,0.13028412471557949,0.09289509779195541,0.46183191477266844,1.7620358726881016,3.8207963700911143
